,Year,Sector,School,Locality,Number of Unit 3/4 VCE Stubjects Offered, Number of VET Subjects Offered,IB Offered,Number of VCE Enrollments,Number of VET Enrollments,Number of VCAL Enrollments,Percentage of VCE students applying for tertiary places,VCE Percentage of Sastisfactory Completion,Number of students awarded the VCE (Baccalaureate),VET Percentage of Sastisfactory Completion,VCAL Percentage of Sastisfactory Completion,Median VCE study score,Percentage of study scores of 40 and over
53,2017,GOVERNMENT,BERWICK SECONDARY COLLEGE,BERWICK,57,30,0,341,219,89,77,98,4,100.0,81.0,29.0,5.6
54,2017,INDEPENDENT,BETH RIVKAH LADIES COLLEGE,ST KILDA EAST,23,6,0,77,46,0,82,100,3,95.0,0.0,35.0,15.1
55,2017,INDEPENDENT,BIALIK COLLEGE,HAWTHORN EAST,40,12,0,156,72,0,100,100,4,97.0,0.0,37.0,35.5
56,2017,INDEPENDENT,BILLANOOK COLLEGE,MOOROOLBARK,44,13,0,188,51,0,92,100,11,98.0,0.0,31.0,8.8
57,2017,GOVERNMENT,BIRCHIP P-12 SCHOOL,BIRCHIP,21,10,0,31,30,8,81,100,0,96.0,91.0,29.0,4.2
58,2017,GOVERNMENT,BLACKBURN HIGH SCHOOL,BLACKBURN,50,16,0,283,24,0,71,97,12,93.0,0.0,30.0,6.8
59,2017,GOVERNMENT,BOORT DISTRICT P-12 SCHOOL,BOORT,17,3,0,23,4,4,78,100,1,76.0,57.0,30.0,5.1
61,2017,GOVERNMENT,BOX HILL HIGH SCHOOL,BOX HILL,68,27,0,391,71,0,89,98,34,93.0,0.0,33.0,15.0
63,2017,GOVERNMENT,BOX HILL SENIOR SECONDARY COLLEGE,MONT ALBERT NORTH,35,16,0,229,132,16,64,100,3,81.0,93.0,25.0,1.5
64,2017,INDEPENDENT,BRAEMAR COLLEGE,WOODEND,38,8,0,158,60,0,96,100,7,95.0,0.0,33.0,11.5
65,2017,GOVERNMENT,BRAUER COLLEGE,WARRNAMBOOL,34,19,0,157,90,40,62,96,1,90.0,78.0,28.0,6.0
66,2017,GOVERNMENT,BRAYBROOK COLLEGE,BRAYBROOK,46,23,0,283,289,99,96,99,9,82.0,93.0,30.0,6.4
67,2017,GOVERNMENT,BRENTWOOD SECONDARY COLLEGE,GLEN WAVERLEY,48,12,0,412,33,0,96,100,33,57.0,0.0,31.0,5.9
68,2017,GOVERNMENT,BRIGHT P-12 COLLEGE,BRIGHT,33,13,0,50,49,21,66,100,0,78.0,79.0,27.0,2.7
69,2017,INDEPENDENT,BRIGHTON GRAMMAR SCHOOL,BRIGHTON,36,8,0,218,12,0,95,100,30,92.0,0.0,34.0,20.8
70,2017,GOVERNMENT,BRIGHTON SECONDARY COLLEGE,BRIGHTON EAST,56,19,0,336,67,0,76,96,11,90.0,0.0,30.0,6.2
71,2017,GOVERNMENT,BROADFORD SECONDARY COLLEGE,BROADFORD,36,16,0,123,85,46,43,94,0,82.0,62.0,25.0,2.0
72,2017,GOVERNMENT,BRUNSWICK SECONDARY COLLEGE,BRUNSWICK,56,22,0,192,85,35,85,99,0,82.0,88.0,30.0,6.8
73,2017,GOVERNMENT,BUCKLEY PARK COLLEGE,ESSENDON,49,21,0,237,44,36,90,98,16,91.0,93.0,31.0,8.9
74,2017,GOVERNMENT,BUNDOORA SECONDARY COLLEGE,BUNDOORA,30,18,0,73,73,32,74,92,1,78.0,66.0,22.0,1.1
75,2017,INDEPENDENT,CAMBERWELL ANGLICAN GIRLS GRAMMAR SCHOOL,CANTERBURY,34,1,0,164,0,0,100,100,36,0.0,0.0,36.0,27.4
78,2017,GOVERNMENT,CAMPERDOWN COLLEGE,CAMPERDOWN,14,7,0,21,18,11,92,100,0,67.0,81.0,30.0,1.5
80,2017,GOVERNMENT,CANTERBURY GIRLS SECONDARY COLLEGE,CANTERBURY,55,13,0,257,22,0,94,100,26,95.0,0.0,32.0,13.1
81,2017,INDEPENDENT,CAREY BAPTIST GRAMMAR SCHOOL,KEW,41,6,1,225,6,0,92,100,29,94.0,0.0,33.0,10.5
82,2017,CATHOLIC,CAROLINE CHISHOLM CATHOLIC COLLEGE,BRAYBROOK,54,23,0,329,185,53,88,99,7,74.0,92.0,30.0,5.1
83,2017,GOVERNMENT,CARRUM DOWNS SECONDARY COLLEGE,CARRUM DOWNS,47,35,0,176,110,69,70,95,0,92.0,88.0,25.0,1.4
84,2017,GOVERNMENT,CARWATHA COLLEGE P-12,NOBLE PARK NORTH,34,16,0,126,33,27,78,100,3,80.0,91.0,25.0,1.0
85,2017,INDEPENDENT,CASEY GRAMMAR SCHOOL,CRANBOURNE,27,6,0,93,7,0,89,100,1,100.0,0.0,27.0,2.6
86,2017,GOVERNMENT,CASTERTON SECONDARY COLLEGE,CASTERTON,22,10,0,25,16,15,77,100,0,98.0,96.0,34.0,11.1
87,2017,GOVERNMENT,CASTLEMAINE SECONDARY COLLEGE,CASTLEMAINE,42,13,0,162,114,31,58,100,4,68.0,81.0,26.0,2.1
88,2017,INDEPENDENT,CATHEDRAL COLLEGE,WANGARATTA,32,5,0,53,6,0,64,97,3,81.0,0.0,29.0,5.6
89,2017,CATHOLIC,CATHOLIC COLLEGE BENDIGO,BENDIGO,51,19,0,454,160,60,88,100,10,90.0,97.0,29.0,4.3
90,2017,CATHOLIC,CATHOLIC COLLEGE SALE,SALE,36,14,0,239,122,42,76,100,1,95.0,100.0,30.0,8.6
91,2017,CATHOLIC,CATHOLIC COLLEGE WODONGA,WODONGA,41,13,0,257,185,45,65,98,5,97.0,83.0,29.0,3.7
92,2017,CATHOLIC,CATHOLIC LADIES COLLEGE,ELTHAM,34,14,0,206,81,19,99,100,6,99.0,95.0,31.0,5.5
94,2017,CATHOLIC,CATHOLIC REGIONAL COLLEGE MELTON,MELTON WEST,45,31,0,215,172,43,77,99,1,95.0,95.0,28.0,1.8
97,2017,INDEPENDENT,CAULFIELD GRAMMAR SCHOOL - CAULFIELD CAMPUS,ST KILDA EAST,49,10,0,405,300,0,98,100,30,98.0,0.0,35.0,25.7
104,2017,GOVERNMENT,CHELTENHAM SECONDARY COLLEGE,CHELTENHAM,54,30,0,226,117,41,94,99,5,86.0,78.0,29.0,6.2
107,2017,CATHOLIC,CHRISTIAN BROTHERS' COLLEGE ST KILDA,ST KILDA EAST,42,21,0,87,48,29,89,98,2,89.0,96.0,30.0,5.1
108,2017,INDEPENDENT,CHRISTIAN COLLEGE INSTITUTE OF SENIOR EDUCATION,WAURN PONDS,54,23,0,264,61,30,87,100,6,92.0,94.0,31.0,9.0
110,2017,CATHOLIC,CLONARD COLLEGE,HERNE HILL,58,25,0,191,69,39,78,100,9,88.0,95.0,30.0,4.9
111,2017,GOVERNMENT,COBDEN TECHNICAL SCHOOL,COBDEN,29,16,0,68,35,34,74,89,0,78.0,84.0,22.0,0.0
112,2017,INDEPENDENT,COBRAM ANGLICAN GRAMMAR SCHOOL,COBRAM,13,2,0,22,0,0,80,100,0,0.0,0.0,26.0,3.1
113,2017,GOVERNMENT,COBRAM SECONDARY COLLEGE,COBRAM,39,19,0,87,32,14,69,98,1,84.0,74.0,27.0,2.4
115,2017,GOVERNMENT,COHUNA SECONDARY COLLEGE,COHUNA,24,11,0,65,22,9,79,97,0,94.0,100.0,27.0,4.3
116,2017,GOVERNMENT,COLAC SECONDARY COLLEGE,COLAC,35,18,0,79,56,19,51,98,1,82.0,70.0,23.0,0.0
117,2017,GOVERNMENT,COLLINGWOOD COLLEGE,COLLINGWOOD,36,21,0,73,57,31,79,96,0,65.0,57.0,26.0,3.2
118,2017,GOVERNMENT,COPPERFIELD COLLEGE,DELAHEY,72,31,0,363,373,179,93,97,6,87.0,91.0,29.0,2.1
119,2017,INDEPENDENT,CORNISH COLLEGE,BANGHOLME,45,17,0,78,29,0,82,100,1,100.0,0.0,29.0,4.7
120,2017,GOVERNMENT,CORRYONG COLLEGE,CORRYONG,23,7,0,38,42,13,65,100,0,84.0,92.0,29.0,2.2
121,2017,INDEPENDENT,COVENANT COLLEGE,BELL POST HILL,32,11,0,76,23,14,73,100,1,94.0,83.0,31.0,7.5
123,2017,GOVERNMENT,CRANBOURNE EAST SECONDARY COLLEGE,CRANBOURNE EAST,57,40,0,194,130,127,76,93,0,97.0,80.0,28.0,2.9
124,2017,GOVERNMENT,CRANBOURNE SECONDARY COLLEGE,CRANBOURNE,49,37,0,171,230,125,79,99,4,85.0,85.0,28.0,3.4
126,2017,CATHOLIC,DAMASCUS COLLEGE,MOUNT CLEAR,49,28,0,184,94,32,73,100,6,92.0,92.0,28.0,5.7
127,2017,GOVERNMENT,DANDENONG HIGH SCHOOL,DANDENONG,69,30,0,437,258,93,79,94,7,71.0,59.0,24.0,0.5
129,2017,GOVERNMENT,DAYLESFORD SECONDARY COLLEGE,DAYLESFORD,28,12,0,75,60,17,73,98,2,91.0,63.0,26.0,0.5
132,2017,GOVERNMENT,DIAMOND VALLEY COLLEGE,DIAMOND CREEK,43,23,0,173,155,39,68,95,1,91.0,100.0,27.0,1.6
135,2017,GOVERNMENT,DISTANCE EDUCATION CENTRE VICTORIA,THORNBURY,80,34,0,404,69,0,41,89,3,70.0,0.0,28.0,3.9
138,2017,GOVERNMENT,DONALD HIGH SCHOOL,DONALD,23,13,0,34,27,39,78,100,0,68.0,93.0,28.0,2.6
139,2017,GOVERNMENT,DONCASTER SECONDARY COLLEGE,DONCASTER,45,23,0,328,32,27,91,98,19,98.0,94.0,29.0,5.1
140,2017,INDEPENDENT,DONVALE CHRISTIAN COLLEGE,DONVALE,42,14,0,195,24,0,90,100,6,82.0,0.0,33.0,10.7
142,2017,GOVERNMENT,DROUIN SECONDARY COLLEGE,DROUIN,48,25,0,181,142,79,83,100,0,99.0,94.0,27.0,2.2
143,2017,GOVERNMENT,EAST DONCASTER SECONDARY COLLEGE,DONCASTER EAST,59,30,0,370,60,18,94,99,40,98.0,100.0,32.0,11.6
144,2017,GOVERNMENT,EAST LODDON P-12 COLLEGE,DINGEE,21,9,0,29,15,12,84,100,0,74.0,90.0,30.0,1.4
145,2017,INDEPENDENT,EAST PRESTON ISLAMIC COLLEGE,EAST PRESTON,13,10,0,33,61,21,100,100,0,99.0,95.0,24.0,0.0
147,2017,GOVERNMENT,EDENHOPE COLLEGE,EDENHOPE,19,15,0,22,27,18,77,100,0,83.0,66.0,29.0,0.0
148,2017,INDEPENDENT,EDINBURGH COLLEGE,LILYDALE,19,12,0,30,28,0,61,100,0,85.0,0.0,31.0,6.5
150,2017,GOVERNMENT,ELISABETH MURDOCH COLLEGE,LANGWARRIN,66,51,0,318,360,172,67,98,0,88.0,86.0,27.0,3.2
151,2017,INDEPENDENT,ELTHAM COLLEGE,RESEARCH,44,17,0,160,84,0,96,100,4,99.0,0.0,32.0,14.0
152,2017,GOVERNMENT,ELTHAM HIGH SCHOOL,ELTHAM,55,25,0,270,108,20,74,98,13,88.0,100.0,29.0,5.2
153,2017,GOVERNMENT,ELWOOD COLLEGE,ELWOOD,36,11,0,121,20,0,57,94,5,83.0,0.0,30.0,7.3
154,2017,GOVERNMENT,EMERALD SECONDARY COLLEGE,EMERALD,49,33,0,140,102,64,85,96,3,82.0,89.0,28.0,3.1
155,2017,CATHOLIC,EMMANUEL COLLEGE,ALTONA NORTH,45,22,0,364,198,46,84,100,10,88.0,99.0,29.0,3.7
156,2017,CATHOLIC,EMMANUEL COLLEGE,WARRNAMBOOL,42,24,0,271,107,22,69,98,3,100.0,78.0,27.0,3.7
157,2017,CATHOLIC,EMMAUS COLLEGE,VERMONT SOUTH,54,23,0,289,47,14,85,100,4,98.0,100.0,30.0,6.1
158,2017,GOVERNMENT,EPPING SECONDARY COLLEGE,EPPING,49,33,0,186,105,107,87,93,2,79.0,88.0,28.0,3.7
159,2017,GOVERNMENT,ESSENDON KEILOR COLLEGE,ESSENDON,38,12,0,195,62,21,96,97,10,89.0,97.0,25.0,1.7
162,2017,GOVERNMENT,FAIRHILLS HIGH SCHOOL,KNOXFIELD,58,37,0,174,188,51,69,93,1,81.0,69.0,27.0,2.3
165,2017,INDEPENDENT,FINTONA GIRLS SCHOOL,BALWYN,27,0,0,91,0,0,96,100,19,0.0,0.0,35.0,22.0
166,2017,INDEPENDENT,FIRBANK GRAMMAR SCHOOL,BRIGHTON,40,5,0,236,7,0,98,99,33,88.0,0.0,35.0,24.9
167,2017,GOVERNMENT,FITZROY HIGH SCHOOL,FITZROY NORTH,51,26,0,113,73,29,95,100,1,77.0,71.0,30.0,4.7
168,2017,INDEPENDENT,FLINDERS CHRISTIAN COMMUNITY COLLEGE,TYABB,39,17,0,142,51,15,78,100,2,100.0,97.0,29.0,5.0
169,2017,INDEPENDENT,FLINDERS CHRISTIAN COMMUNITY COLLEGE - CARRUM DOWNS CAMPUS,CARRUM DOWNS,49,26,0,139,42,16,85,100,1,94.0,87.0,32.0,6.9
170,2017,INDEPENDENT,FLINDERS CHRISTIAN COMMUNITY COLLEGE - LATROBE CITY CAMP,TRARALGON,18,4,0,23,7,7,93,100,0,87.0,100.0,30.0,1.3
171,2017,GOVERNMENT,FOOTSCRAY CITY COLLEGE,FOOTSCRAY,47,8,0,168,65,35,80,99,3,64.0,89.0,29.0,4.7
172,2017,GOVERNMENT,FOREST HILL COLLEGE,BURWOOD EAST,35,10,0,148,37,0,93,99,2,91.0,0.0,25.0,1.9
174,2017,GOVERNMENT,FOUNTAIN GATE SECONDARY COLLEGE,FOUNTAIN GATE,50,20,0,159,120,0,76,99,0,89.0,0.0,28.0,1.5
175,2017,GOVERNMENT,FRANKSTON HIGH SCHOOL - VCE CAMPUS,FRANKSTON,69,26,0,498,152,0,76,100,16,88.0,0.0,31.0,9.3
176,2017,CATHOLIC,GALEN COLLEGE,WANGARATTA,48,30,0,253,216,76,87,100,1,87.0,94.0,30.0,4.2
177,2017,INDEPENDENT,GEELONG BAPTIST COLLEGE,LOVELY BANKS,25,12,0,30,23,8,84,100,0,96.0,100.0,26.0,4.0
178,2017,INDEPENDENT,GEELONG GRAMMAR SCHOOL,CORIO,36,4,1,219,7,0,79,99,2,98.0,0.0,31.0,8.2
179,2017,GOVERNMENT,GEELONG HIGH SCHOOL,EAST GEELONG,53,31,0,188,76,13,47,97,1,95.0,94.0,25.0,1.3
180,2017,INDEPENDENT,GEELONG LUTHERAN COLLEGE,ARMSTRONG CREEK,35,19,0,62,35,7,90,100,2,99.0,100.0,29.0,4.8
181,2017,CATHOLIC,GENAZZANO F.C.J. COLLEGE,KEW,41,6,0,286,8,0,98,100,41,91.0,0.0,35.0,22.0
182,2017,GOVERNMENT,GILMORE COLLEGE FOR GIRLS,FOOTSCRAY,23,1,0,49,0,0,100,100,2,0.0,0.0,29.0,7.4
183,2017,INDEPENDENT,GILSON COLLEGE,TAYLORS HILL,32,6,0,106,91,0,84,100,2,98.0,0.0,27.0,3.2
184,2017,INDEPENDENT,GIPPSLAND GRAMMAR - SENIOR,SALE,40,15,0,173,44,13,91,100,8,98.0,95.0,32.0,11.3
185,2017,INDEPENDENT,GIRTON GRAMMAR SCHOOL,BENDIGO,43,5,0,241,19,0,99,100,9,97.0,0.0,34.0,16.6
186,2017,GOVERNMENT,GISBORNE SECONDARY COLLEGE,GISBORNE,58,26,0,249,119,32,74,98,5,78.0,85.0,26.0,2.0
188,2017,GOVERNMENT,GLEN EIRA COLLEGE,CAULFIELD EAST,45,19,0,136,40,0,95,99,9,94.0,0.0,29.0,5.1
189,2017,GOVERNMENT,GLEN WAVERLEY SECONDARY COLLEGE,GLEN WAVERLEY,65,20,0,649,95,0,93,100,104,96.0,0.0,33.0,15.9
200,2017,INDEPENDENT,GOULBURN VALLEY GRAMMAR SCHOOL,SHEPPARTON,28,2,0,147,0,0,96,100,9,0.0,0.0,34.0,17.2
201,2017,GOVERNMENT,GREENSBOROUGH SECONDARY COLLEGE,GREENSBOROUGH,40,24,0,148,146,79,84,98,1,63.0,71.0,28.0,3.0
202,2017,GOVERNMENT,GROVEDALE COLLEGE,GROVEDALE,37,24,0,152,97,31,60,100,2,93.0,97.0,27.0,4.6
203,2017,INDEPENDENT,HAILEYBURY COLLEGE,KEYSBOROUGH,50,8,0,475,39,0,87,100,46,96.0,0.0,35.0,26.1
204,2017,INDEPENDENT,HAILEYBURY GIRLS COLLEGE,KEYSBOROUGH,47,4,0,333,15,0,97,100,45,86.0,0.0,36.0,29.5
205,2017,GOVERNMENT,HALLAM SENIOR SECONDARY COLLEGE,HALLAM,53,30,0,348,536,268,62,90,1,97.0,86.0,21.0,0.2
206,2017,GOVERNMENT,HAMPTON PARK SECONDARY COLLEGE,HAMPTON PARK,47,31,0,205,137,95,87,99,3,95.0,80.0,25.0,0.7
207,2017,GOVERNMENT,HAWKESDALE COLLEGE,HAWKESDALE,24,13,0,31,20,14,47,94,0,100.0,96.0,25.0,0.0
208,2017,GOVERNMENT,HEALESVILLE HIGH SCHOOL,HEALESVILLE,40,22,0,77,66,43,60,97,0,88.0,92.0,24.0,1.4
209,2017,INDEPENDENT,HEATHDALE CHRISTIAN COLLEGE WERRIBEE CAMPUS,WERRIBEE,40,15,0,95,120,9,100,100,3,94.0,100.0,29.0,6.5
210,2017,INDEPENDENT,HEATHERTON CHRISTIAN COLLEGE,CLARINDA,23,6,0,48,35,0,66,100,1,100.0,0.0,31.0,13.7
211,2017,GOVERNMENT,HEATHMONT COLLEGE,HEATHMONT,30,17,0,74,26,25,85,95,0,94.0,74.0,28.0,3.2
212,2017,INDEPENDENT,HERITAGE COLLEGE - OFFICER CAMPUS,OFFICER,19,9,0,33,11,12,56,100,0,83.0,90.0,26.0,2.3
216,2017,INDEPENDENT,HIGHVIEW CHRISTIAN COMMUNITY COLLEGE,MARYBOROUGH,33,8,0,75,72,0,74,98,1,98.0,0.0,27.0,4.8
217,2017,INDEPENDENT,HILLCREST CHRISTIAN COLLEGE - AYR HILL CAMPUS,CLYDE NORTH,38,9,0,144,28,0,86,99,5,93.0,0.0,29.0,6.4
223,2017,GOVERNMENT,HORSHAM COLLEGE,HORSHAM,44,25,0,148,133,42,73,96,4,96.0,36.0,29.0,6.4
224,2017,INDEPENDENT,HUME ANGLICAN GRAMMAR,MICKLEHAM,20,0,0,57,0,0,90,100,0,0.0,0.0,28.0,2.3
225,2017,GOVERNMENT,HUME CENTRAL SECONDARY COLLEGE - TOWN PARK CAMPUS,BROADMEADOWS,37,24,0,155,105,77,95,100,0,100.0,80.0,23.0,1.9
226,2017,INDEPENDENT,HUNTINGTOWER SCHOOL,MOUNT WAVERLEY,34,4,0,165,4,0,98,100,24,93.0,0.0,37.0,30.0
227,2017,INDEPENDENT,ILIM COLLEGE,BROADMEADOWS,18,0,0,100,0,0,93,98,3,0.0,0.0,29.0,7.8
228,2017,INDEPENDENT,ILIM COLLEGE BOYS CAMPUS,DALLAS,17,0,0,67,0,0,90,100,1,0.0,0.0,28.0,3.8
229,2017,INDEPENDENT,IVANHOE GIRLS' GRAMMAR SCHOOL,IVANHOE,38,7,0,276,118,0,99,100,20,78.0,0.0,34.0,19.6
230,2017,INDEPENDENT,IVANHOE GRAMMAR SCHOOL,IVANHOE,36,2,1,309,50,0,88,99,21,100.0,0.0,33.0,13.2
232,2017,GOVERNMENT,JOHN FAWKNER COLLEGE,FAWKNER,15,8,0,60,155,66,77,85,0,76.0,68.0,25.0,1.9
233,2017,SELECTIVE,JOHN MONASH SCIENCE SCHOOL,CLAYTON,45,1,0,410,0,0,97,100,61,0.0,0.0,34.0,16.8
235,2017,GOVERNMENT,KAMBRYA COLLEGE,BERWICK,69,37,0,235,258,138,74,97,5,88.0,83.0,30.0,3.3
238,2017,INDEPENDENT,KARDINIA INTERNATIONAL COLLEGE,BELL POST HILL,43,19,1,291,26,0,90,100,14,99.0,0.0,31.0,9.4
239,2017,GOVERNMENT,KEILOR DOWNS COLLEGE,KEILOR DOWNS,63,32,0,245,159,80,93,100,13,81.0,87.0,29.0,5.9
242,2017,GOVERNMENT,KERANG TECHNICAL HIGH SCHOOL,KERANG,29,11,0,75,53,0,40,91,0,68.0,0.0,26.0,2.6
243,2017,GOVERNMENT,KEW HIGH SCHOOL,KEW EAST,51,15,0,337,70,0,83,99,25,99.0,0.0,30.0,7.9
244,2017,GOVERNMENT,KEYSBOROUGH SECONDARY COLLEGE - ACACIA CAMPUS,KEYSBOROUGH,48,21,0,136,46,34,97,96,3,77.0,84.0,27.0,2.4
245,2017,GOVERNMENT,KEYSBOROUGH SECONDARY COLLEGE- BANKSIA CAMPUS,SPRINGVALE SOUTH,47,22,0,187,66,46,98,99,8,62.0,68.0,28.0,3.0
246,2017,CATHOLIC,KILBREDA COLLEGE,MENTONE,42,16,0,267,77,19,87,100,10,97.0,100.0,30.0,7.3
247,2017,CATHOLIC,KILLESTER COLLEGE,SPRINGVALE,53,20,0,229,108,26,96,100,17,86.0,98.0,31.0,7.2
248,2017,INDEPENDENT,KILVINGTON GRAMMAR SCHOOL,ORMOND,37,6,0,156,9,0,100,100,16,89.0,0.0,35.0,22.2
249,2017,INDEPENDENT,KINGS COLLEGE,WARRNAMBOOL,17,6,0,23,6,0,54,100,1,100.0,0.0,31.0,7.4
250,2017,INDEPENDENT,KINGSWOOD COLLEGE,BOX HILL,37,12,0,141,101,0,97,100,3,100.0,0.0,32.0,8.1
251,2017,CATHOLIC,KOLBE CATHOLIC COLLEGE,GREENVALE,33,17,0,154,259,49,94,99,0,85.0,94.0,26.0,1.9
252,2017,GOVERNMENT,KOO WEE RUP SECONDARY COLLEGE,KOO WEE RUP,41,27,0,197,138,88,81,97,1,85.0,82.0,28.0,1.1
253,2017,GOVERNMENT,KOONUNG SECONDARY COLLEGE,MONT ALBERT NORTH,50,16,0,252,42,0,85,100,19,98.0,0.0,31.0,8.9
254,2017,INDEPENDENT,KOROWA ANGLICAN GIRLS' SCHOOL,GLEN IRIS,36,6,0,131,8,0,100,100,26,100.0,0.0,37.0,29.0
255,2017,GOVERNMENT,KORUMBURRA SECONDARY COLLEGE,KORUMBURRA,19,15,0,49,24,27,58,88,0,86.0,72.0,24.0,0.7
256,2017,GOVERNMENT,KURNAI COLLEGE - UNIVERSITY CAMPUS,CHURCHILL,57,33,0,282,215,129,56,89,1,77.0,90.0,27.0,1.0
257,2017,GOVERNMENT,KURUNJANG SECONDARY COLLEGE,MELTON,33,23,0,125,83,75,84,100,0,57.0,62.0,22.0,0.3
258,2017,GOVERNMENT,KYABRAM P-12 COLLEGE,KYABRAM,29,14,0,106,76,29,56,92,0,81.0,58.0,24.0,0.4
259,2017,GOVERNMENT,KYNETON SECONDARY COLLEGE,KYNETON,27,11,0,80,88,38,78,100,5,99.0,93.0,27.0,2.4
261,2017,GOVERNMENT,LAKES ENTRANCE SECONDARY COLLEGE,LAKES ENTRANCE,18,8,0,37,34,21,92,100,0,67.0,72.0,28.0,1.5
262,2017,INDEPENDENT,LAKESIDE LUTHERAN COLLEGE,PAKENHAM,15,5,0,35,29,0,84,100,0,95.0,0.0,28.0,0.0
263,2017,GOVERNMENT,LAKEVIEW SENIOR COLLEGE,CAROLINE SPRINGS,71,36,0,436,195,97,92,97,4,89.0,93.0,28.0,3.1
265,2017,GOVERNMENT,LALOR SECONDARY COLLEGE,LALOR,41,19,0,150,56,47,88,95,1,87.0,91.0,29.0,3.2
266,2017,GOVERNMENT,LARA SECONDARY COLLEGE,LARA,41,28,0,139,87,56,50,92,0,81.0,83.0,23.0,0.7
267,2017,INDEPENDENT,LAURISTON GIRLS SCHOOL,ARMADALE,36,10,1,93,16,0,90,100,6,97.0,0.0,35.0,29.7
268,2017,CATHOLIC,LAVALLA CATHOLIC COLLEGE,TRARALGON,50,26,0,276,224,45,75,99,2,97.0,76.0,27.0,3.1
269,2017,GOVERNMENT,LAVERS HILL K-12 COLLEGE,LAVERS HILL,13,15,0,21,66,0,0,100,0,80.0,0.0,26.0,0.0
270,2017,GOVERNMENT,LAVERTON P-12 COLLEGE - BLADIN CAMPUS,LAVERTON,32,19,0,61,60,41,81,97,0,75.0,74.0,23.0,0.6
271,2017,INDEPENDENT,LEIBLER YAVNEH COLLEGE,ELSTERNWICK,30,9,0,124,90,0,97,100,4,89.0,0.0,35.0,27.9
273,2017,INDEPENDENT,LIGHTHOUSE CHRISTIAN COLLEGE,KEYSBOROUGH,23,2,0,59,6,0,94,100,1,96.0,0.0,29.0,4.4
274,2017,INDEPENDENT,LIGHTHOUSE CHRISTIAN COLLEGE CRANBOURNE,CRANBOURNE,18,0,0,87,0,0,49,98,5,0.0,0.0,30.0,9.0
275,2017,GOVERNMENT,LILYDALE HEIGHTS COLLEGE,LILYDALE,45,21,0,81,42,29,92,100,0,67.0,91.0,26.0,0.9
276,2017,GOVERNMENT,LILYDALE HIGH SCHOOL,LILYDALE,61,26,0,455,222,0,54,99,2,84.0,0.0,28.0,3.2
278,2017,CATHOLIC,LORETO COLLEGE,BALLARAT,49,19,0,216,82,26,88,99,8,83.0,94.0,31.0,6.7
279,2017,CATHOLIC,LORETO MANDEVILLE HALL,TOORAK,36,3,0,208,0,0,98,100,20,0.0,0.0,36.0,27.0
280,2017,GOVERNMENT,LORNE P-12 COLLEGE,LORNE,23,8,0,30,28,10,94,100,0,89.0,77.0,27.0,0.0
281,2017,GOVERNMENT,LOWANNA COLLEGE,NEWBOROUGH,43,26,0,186,160,66,44,97,0,76.0,50.0,22.0,0.0
282,2017,INDEPENDENT,LOWTHER HALL ANGLICAN GRAMMAR SCHOOL,ESSENDON,31,4,0,234,160,0,100,100,14,100.0,0.0,36.0,25.2
283,2017,CATHOLIC,LOYOLA COLLEGE,WATSONIA,63,23,0,265,107,31,89,100,9,94.0,100.0,30.0,3.7
284,2017,INDEPENDENT,LUTHER COLLEGE,CROYDON HILLS,49,20,0,333,60,0,86,100,11,99.0,0.0,32.0,9.4
286,2017,GOVERNMENT,LYNDALE SECONDARY COLLEGE,DANDENONG NORTH,53,25,0,171,103,58,98,96,4,90.0,76.0,26.0,2.8
289,2017,GOVERNMENT,MACLEOD COLLEGE,MACLEOD,30,6,0,104,10,0,88,99,3,86.0,0.0,25.0,2.2
290,2017,SELECTIVE,MACROBERTSON GIRLS HIGH SCHOOL,MELBOURNE,49,12,0,515,30,0,98,100,136,86.0,0.0,37.0,36.6
291,2017,GOVERNMENT,MAFFRA SECONDARY COLLEGE,MAFFRA,31,13,0,78,51,35,91,96,0,79.0,79.0,26.0,2.0
294,2017,GOVERNMENT,MANOR LAKES P-12 COLLEGE,WYNDHAM VALE,45,31,0,141,199,69,67,91,1,64.0,70.0,27.0,2.5
295,2017,GOVERNMENT,MANSFIELD SECONDARY COLLEGE,MANSFIELD,38,36,0,82,104,21,67,98,0,83.0,83.0,27.0,0.5
296,2017,INDEPENDENT,MARANATHA CHRISTIAN SCHOOL,ENDEAVOUR HILLS,35,11,0,123,19,18,78,100,1,90.0,95.0,31.0,8.0
297,2017,CATHOLIC,MARCELLIN COLLEGE,BULLEEN,52,23,0,291,137,29,94,100,13,94.0,94.0,30.0,7.5
298,2017,CATHOLIC,MARIAN COLLEGE ARARAT,ARARAT,28,16,0,96,59,30,72,98,0,95.0,84.0,27.0,4.2
299,2017,CATHOLIC,MARIAN COLLEGE MYRTLEFORD,MYRTLEFORD,26,9,0,53,28,15,70,100,2,80.0,100.0,27.0,0.0
300,2017,CATHOLIC,MARIAN COLLEGE SUNSHINE,SUNSHINE WEST,44,16,0,189,85,52,90,97,9,87.0,88.0,29.0,4.1
301,2017,GOVERNMENT,MARIBYRNONG SECONDARY COLLEGE,MARIBYRNONG,35,4,0,224,54,0,80,95,7,93.0,0.0,29.0,5.8
302,2017,CATHOLIC,MARIST SION COLLEGE,WARRAGUL,35,13,0,150,57,23,77,98,0,92.0,75.0,29.0,6.0
