,Year,Sector,School,Locality,Number of Unit 3/4 VCE Stubjects Offered, Number of VET Subjects Offered,IB Offered,Number of VCE Enrollments,Number of VET Enrollments,Number of VCAL Enrollments,Percentage of VCE students applying for tertiary places,VCE Percentage of Sastisfactory Completion,Number of students awarded the VCE (Baccalaureate),VET Percentage of Sastisfactory Completion,VCAL Percentage of Sastisfactory Completion,Median VCE study score,Percentage of study scores of 40 and over,Average Housing Price,Standard Deviation of Housing Price
305,2016,GOVERNMENT,MOUNT ALEXANDER 7-12 COLLEGE,FLEMINGTON,27,12,0,46,19,41,79,96,0,78.0,93.0,23.0,4.2,405.625,5.829611908180509
306,2017,GOVERNMENT,MOUNT RIDLEY P-12 COLLEGE,CRAIGIEBURN,49,28,0,202,152,84,99,99,1,66.0,46.0,25.0,2.1,348.125,6.091746465505603
307,2016,GOVERNMENT,CRAIGIEBURN SECONDARY COLLEGE,CRAIGIEBURN,30,13,0,166,229,52,83,98,0,80.0,69.0,24.0,1.8,348.125,6.091746465505603
308,2016,GOVERNMENT,MOUNT RIDLEY P-12 COLLEGE,CRAIGIEBURN,61,31,0,205,142,91,94,99,1,82.0,58.0,24.0,0.7,348.125,6.091746465505603
309,2017,CATHOLIC,MOUNT ST JOSEPH GIRLS' COLLEGE,ALTONA,51,21,0,213,53,28,100,100,13,89.0,95.0,31.0,7.6,378.125,7.880950133074057
310,2016,CATHOLIC,MOUNT ST JOSEPH GIRLS' COLLEGE,ALTONA,49,13,0,227,44,23,99,99,8,90.0,97.0,30.0,6.1,378.125,7.880950133074057
311,2017,GOVERNMENT,NOBLE PARK SECONDARY COLLEGE,NOBLE PARK,30,12,0,103,47,47,76,97,3,72.0,91.0,25.0,2.1,328.125,7.880950133074057
312,2016,GOVERNMENT,NOBLE PARK SECONDARY COLLEGE,NOBLE PARK,32,13,0,99,56,53,79,94,1,82.0,92.0,25.0,1.0,328.125,7.880950133074057
313,2017,INDEPENDENT,NORTH MELBOURNE GRAMMAR COLLEGE,NORTH MELBOURNE,9,1,0,24,0,0,73,80,0,0.0,0.0,22.0,0.0,413.125,10.879309490955757
314,2017,CATHOLIC,ST ALOYSIUS COLLEGE,NORTH MELBOURNE,35,13,0,110,26,10,97,100,8,100.0,100.0,32.0,4.9,413.125,10.879309490955757
315,2016,CATHOLIC,ST ALOYSIUS COLLEGE,NORTH MELBOURNE,42,14,0,103,55,9,93,100,5,77.0,100.0,30.0,5.8,413.125,10.879309490955757
316,2017,GOVERNMENT,NORTHCOTE HIGH SCHOOL,NORTHCOTE,60,30,0,442,153,12,91,99,25,85.0,78.0,31.0,8.9,456.875,10.879309490955757
317,2016,GOVERNMENT,NORTHCOTE HIGH SCHOOL,NORTHCOTE,61,27,0,445,115,0,91,99,19,93.0,0.0,31.0,10.8,456.875,10.879309490955757
318,2016,CATHOLIC,SANTA MARIA COLLEGE,NORTHCOTE,47,19,0,209,39,9,98,100,8,89.0,84.0,31.0,8.0,456.875,10.879309490955757
319,2017,INDEPENDENT,NUNAWADING CHRISTIAN COLLEGE - SECONDARY CAMPUS,NUNAWADING,18,3,0,43,4,0,96,100,0,100.0,0.0,30.0,8.2,390.625,6.817945071647322
320,2016,INDEPENDENT,NUNAWADING CHRISTIAN COLLEGE - SECONDARY CAMPUS,NUNAWADING,16,3,0,35,0,0,100,100,1,0.0,0.0,32.0,14.1,390.625,6.817945071647322
321,2017,CATHOLIC,OUR LADY OF MERCY COLLEGE,HEIDELBERG,49,13,0,339,65,12,96,100,32,93.0,100.0,32.0,11.0,382.5,11.4564392373896
322,2016,CATHOLIC,OUR LADY OF MERCY COLLEGE,HEIDELBERG,53,18,0,324,70,11,96,100,23,95.0,100.0,33.0,10.3,382.5,11.4564392373896
323,2017,CATHOLIC,OUR LADY OF SACRED HEART COLLEGE,BENTLEIGH,49,16,0,169,191,16,98,98,3,100.0,100.0,32.0,8.2,454.0,13.991068579633222
324,2016,CATHOLIC,OUR LADY OF SACRED HEART COLLEGE,BENTLEIGH,39,21,0,172,185,21,99,100,8,97.0,98.0,31.0,8.5,454.0,13.991068579633222
325,2017,INDEPENDENT,OVERNEWTON ANGLICAN COMMUNITY COLLEGE,KEILOR,41,6,0,245,158,0,93,100,6,98.0,0.0,30.0,6.7,404.125,10.682198977738619
326,2016,INDEPENDENT,OVERNEWTON ANGLICAN COMMUNITY COLLEGE,KEILOR,40,11,0,255,147,0,91,100,6,97.0,0.0,30.0,8.5,404.125,10.682198977738619
327,2017,GOVERNMENT,PASCOE VALE GIRLS SECONDARY COLLEGE,PASCOE VALE,39,15,0,266,101,36,91,93,20,78.0,76.0,27.0,2.7,381.0,14.256577429383253
328,2016,GOVERNMENT,PASCOE VALE GIRLS SECONDARY COLLEGE,PASCOE VALE,42,8,0,248,102,13,95,99,14,96.0,85.0,28.0,2.3,381.0,14.256577429383253
329,2017,INDEPENDENT,PENLEIGH AND ESSENDON GRAMMAR SCHOOL,KEILOR EAST,38,5,0,288,9,0,95,100,68,85.0,0.0,35.0,24.0,391.25,7.39509972887452
330,2016,INDEPENDENT,PENLEIGH AND ESSENDON GRAMMAR SCHOOL,KEILOR EAST,37,3,0,310,4,0,92,100,66,18.0,0.0,36.0,25.5,391.25,7.39509972887452
331,2017,GOVERNMENT,RESERVOIR HIGH SCHOOL,RESERVOIR,40,17,0,122,56,18,85,97,8,81.0,96.0,27.0,3.0,346.875,6.584783595532961
332,2017,GOVERNMENT,WILLIAM RUTHVEN SECONDARY COLLEGE,RESERVOIR,24,12,0,82,30,9,86,84,1,65.0,65.0,25.0,1.1,346.875,6.584783595532961
333,2016,GOVERNMENT,RESERVOIR HIGH SCHOOL,RESERVOIR,45,21,0,113,69,24,71,92,2,81.0,91.0,26.0,2.7,346.875,6.584783595532961
334,2016,GOVERNMENT,WILLIAM RUTHVEN SECONDARY COLLEGE,RESERVOIR,31,14,0,94,32,13,92,96,0,62.0,90.0,25.0,1.3,346.875,6.584783595532961
335,2017,GOVERNMENT,ROWVILLE SECONDARY COLLEGE,ROWVILLE,72,41,0,492,232,111,58,94,4,78.0,80.0,27.0,1.5,429.5,9.643650760992955
336,2017,CATHOLIC,SACRED HEART COLLEGE GEELONG,NEWTOWN,69,33,0,387,205,59,90,100,13,99.0,98.0,34.0,13.6,338.5,12.479983974348684
337,2017,CATHOLIC,ST JOSEPH'S COLLEGE NEWTOWN,NEWTOWN,51,22,0,387,236,55,71,99,3,98.0,99.0,31.0,10.0,338.5,12.479983974348684
338,2017,INDEPENDENT,THE GEELONG COLLEGE,NEWTOWN,38,7,0,243,28,0,95,99,29,94.0,0.0,34.0,19.1,338.5,12.479983974348684
339,2016,CATHOLIC,SACRED HEART COLLEGE GEELONG,NEWTOWN,66,31,0,413,176,50,92,100,11,99.0,97.0,33.0,13.5,338.5,12.479983974348684
340,2016,CATHOLIC,ST JOSEPH'S COLLEGE NEWTOWN,NEWTOWN,61,26,0,392,240,48,75,99,9,98.0,99.0,31.0,9.4,338.5,12.479983974348684
341,2016,INDEPENDENT,THE GEELONG COLLEGE,NEWTOWN,43,8,0,263,32,0,93,100,16,95.0,0.0,34.0,17.8,338.5,12.479983974348684
342,2017,CATHOLIC,SALESIAN COLLEGE SUNBURY,SUNBURY,49,29,0,205,131,61,89,99,3,80.0,79.0,29.0,2.3,338.5,7.54983443527075
343,2017,GOVERNMENT,SUNBURY COLLEGE,SUNBURY,40,24,0,200,173,25,74,97,2,90.0,88.0,27.0,2.0,338.5,7.54983443527075
344,2016,CATHOLIC,SALESIAN COLLEGE SUNBURY,SUNBURY,56,31,0,242,127,69,95,99,1,86.0,82.0,29.0,3.8,338.5,7.54983443527075
345,2016,GOVERNMENT,SUNBURY COLLEGE,SUNBURY,32,16,0,189,213,0,65,99,2,82.0,0.0,27.0,3.2,338.5,7.54983443527075
346,2016,GOVERNMENT,SUNBURY DOWNS SECONDARY COLLEGE,SUNBURY,31,13,0,122,104,66,80,100,1,84.0,96.0,30.0,1.7,338.5,7.54983443527075
347,2017,INDEPENDENT,SCOTCH COLLEGE,HAWTHORN,46,5,0,439,8,0,97,100,82,71.0,0.0,36.0,26.8,377.0,5.744562646538029
348,2017,GOVERNMENT,SWINBURNE SENIOR SECONDARY COLLEGE,HAWTHORN,55,25,0,262,85,36,79,91,1,78.0,99.0,28.0,0.8,377.0,5.744562646538029
349,2016,INDEPENDENT,SCOTCH COLLEGE,HAWTHORN,49,8,0,453,10,0,96,100,83,100.0,0.0,35.0,23.9,377.0,5.744562646538029
350,2017,GOVERNMENT,SEYMOUR COLLEGE,SEYMOUR,30,22,0,85,122,25,72,88,1,96.0,87.0,25.0,2.6,254.375,5.829611908180509
351,2016,GOVERNMENT,SEYMOUR COLLEGE,SEYMOUR,41,26,0,109,110,25,85,90,1,90.0,76.0,27.0,1.5,254.375,5.829611908180509
352,2017,INDEPENDENT,SHELFORD GIRLS' GRAMMAR,CAULFIELD,42,12,0,137,22,0,97,100,19,100.0,0.0,36.0,25.4,427.875,14.88655013762423
353,2016,INDEPENDENT,SHELFORD GIRLS' GRAMMAR,CAULFIELD,36,10,0,129,15,0,100,100,12,95.0,0.0,37.0,30.7,427.875,14.88655013762423
354,2017,CATHOLIC,SIENA COLLEGE,CAMBERWELL,41,9,0,164,14,0,100,100,5,98.0,0.0,34.0,14.3,450.625,11.575161985907584
355,2016,CATHOLIC,SIENA COLLEGE,CAMBERWELL,38,9,0,165,11,0,98,100,13,100.0,0.0,34.0,16.0,450.625,11.575161985907584
356,2017,GOVERNMENT,ST ALBANS SECONDARY COLLEGE,ST ALBANS,48,25,0,257,228,92,90,95,18,84.0,91.0,30.0,8.4,327.5,8.2915619758885
357,2017,GOVERNMENT,VICTORIA UNIVERSITY SECONDARY COLLEGE - BRIMBANK CAMPUS,ST ALBANS,44,22,0,179,132,97,84,91,1,95.0,86.0,27.0,2.6,327.5,8.2915619758885
358,2016,GOVERNMENT,VICTORIA UNIVERSITY SECONDARY COLLEGE - BRIMBANK CAMPUS,ST ALBANS,50,19,0,183,143,85,84,93,0,90.0,85.0,27.0,0.8,327.5,8.2915619758885
359,2017,CATHOLIC,ST JOSEPH'S COLLEGE ECHUCA,ECHUCA,41,22,0,261,224,22,74,96,1,93.0,95.0,28.0,1.8,292.25,8.089344843681719
360,2016,GOVERNMENT,ECHUCA COLLEGE,ECHUCA,38,15,0,139,190,25,55,99,1,90.0,91.0,25.0,1.7,292.25,8.089344843681719
361,2016,CATHOLIC,ST JOSEPH'S COLLEGE ECHUCA,ECHUCA,43,22,0,233,237,18,69,99,4,91.0,90.0,28.0,3.0,292.25,8.089344843681719
362,2017,CATHOLIC,ST JOSEPH'S COLLEGE FERNTREE GULLY,FERNTREE GULLY,51,29,0,270,343,66,87,99,1,89.0,98.0,30.0,6.4,378.125,9.333240326917549
363,2016,CATHOLIC,ST JOSEPH'S COLLEGE FERNTREE GULLY,FERNTREE GULLY,48,30,0,267,321,50,89,98,0,82.0,99.0,30.0,4.3,378.125,9.333240326917549
364,2017,CATHOLIC,ST MARY MACKILLOP COLLEGE,SWAN HILL,33,15,0,113,143,32,94,100,0,96.0,91.0,29.0,4.6,240.625,4.635124054434789
365,2017,GOVERNMENT,SWAN HILL COLLEGE,SWAN HILL,33,24,0,199,264,115,76,99,0,90.0,75.0,25.0,3.0,240.625,4.635124054434789
366,2016,CATHOLIC,ST MARY MACKILLOP COLLEGE,SWAN HILL,33,16,0,125,137,35,83,98,0,94.0,95.0,31.0,7.3,240.625,4.635124054434789
367,2016,GOVERNMENT,SWAN HILL COLLEGE,SWAN HILL,40,26,0,216,285,89,86,95,2,92.0,85.0,27.0,1.4,240.625,4.635124054434789
368,2017,INDEPENDENT,ST MICHAEL'S GRAMMAR SCHOOL,ST KILDA,40,9,0,189,16,0,91,100,17,93.0,0.0,33.0,15.3,401.875,7.473912964438374
369,2016,INDEPENDENT,ST MICHAEL'S GRAMMAR SCHOOL,ST KILDA,39,5,0,205,12,0,90,100,17,90.0,0.0,34.0,16.0,401.875,7.473912964438374
370,2017,GOVERNMENT,THOMASTOWN SECONDARY COLLEGE,THOMASTOWN,32,15,0,87,30,0,74,95,0,91.0,0.0,23.0,1.9,335.625,7.680128579652817
371,2016,GOVERNMENT,THOMASTOWN SECONDARY COLLEGE,THOMASTOWN,39,19,0,101,34,0,83,96,1,100.0,0.0,23.0,0.6,335.625,7.680128579652817
372,2017,GOVERNMENT,VERMONT SECONDARY COLLEGE,VERMONT,49,20,0,277,35,0,96,100,17,99.0,0.0,31.0,8.3,425.625,10.43955818030629
373,2016,GOVERNMENT,VERMONT SECONDARY COLLEGE,VERMONT,61,24,0,303,44,0,96,100,15,94.0,0.0,30.0,6.1,425.625,10.43955818030629
374,2017,GOVERNMENT,VICTORIAN COLLEGE OF THE ARTS SECONDARY SCHOOL,SOUTHBANK,24,1,0,195,26,0,68,94,2,97.0,0.0,35.0,23.3,536.875,4.284784125250653
375,2016,GOVERNMENT,VICTORIAN COLLEGE OF THE ARTS SECONDARY SCHOOL,SOUTHBANK,29,3,0,166,47,0,71,98,1,99.0,0.0,34.0,22.7,536.875,4.284784125250653
376,2017,GOVERNMENT,WANTIRNA COLLEGE,WANTIRNA,55,27,0,223,83,40,83,97,4,87.0,91.0,28.0,4.6,410.0,11.180339887498949
377,2016,GOVERNMENT,WANTIRNA COLLEGE,WANTIRNA,54,24,0,232,68,32,85,99,6,85.0,89.0,29.0,5.4,410.0,11.180339887498949
378,2017,GOVERNMENT,WESTERN PORT SECONDARY COLLEGE,HASTINGS,37,21,0,91,74,43,68,96,0,85.0,66.0,25.0,0.5,346.25,9.921567416492215
379,2016,GOVERNMENT,WESTERN PORT SECONDARY COLLEGE,HASTINGS,40,26,0,94,68,41,59,100,1,90.0,70.0,26.0,1.3,346.25,9.921567416492215
380,2017,GOVERNMENT,WHITTLESEA SECONDARY COLLEGE,WHITTLESEA,35,26,0,137,213,68,71,93,0,74.0,81.0,27.0,2.3,350.0,7.0710678118654755
381,2016,GOVERNMENT,WHITTLESEA SECONDARY COLLEGE,WHITTLESEA,52,29,0,136,166,59,75,95,0,84.0,88.0,25.0,0.8,350.0,7.0710678118654755
382,2016,GOVERNMENT,BENALLA P-12 COLLEGE,BENALLA,39,32,0,101,114,27,68,88,0,78.0,87.0,24.0,0.8,236.875,6.584783595532961
383,2016,CATHOLIC,F.C.J. COLLEGE,BENALLA,26,13,0,68,56,11,58,97,0,91.0,90.0,29.0,4.0,236.875,6.584783595532961
384,2016,GOVERNMENT,BORONIA K-12 COLLEGE,BORONIA,23,19,0,39,45,43,50,100,0,79.0,77.0,26.0,0.0,358.75,7.806247497997997
385,2016,CATHOLIC,CATHOLIC REGIONAL COLLEGE SYDENHAM,SYDENHAM,72,44,0,636,671,157,89,99,4,88.0,85.0,30.0,4.3,373.75,8.926785535678562
386,2016,CATHOLIC,DE LA SALLE COLLEGE,MALVERN,43,17,0,226,118,20,92,99,9,91.0,100.0,29.0,5.3,459.75,4.380353866983808
387,2016,GOVERNMENT,DROMANA SECONDARY COLLEGE,DROMANA,45,32,0,254,303,223,75,100,5,91.0,97.0,31.0,4.8,349.375,11.842059575935261
388,2016,GOVERNMENT,GLADSTONE PARK SECONDARY COLLEGE,GLADSTONE PARK,46,21,0,320,80,69,95,99,9,90.0,98.0,29.0,5.0,352.125,9.829006816560868
389,2016,INDEPENDENT,MOUNT SCOPUS MEMORIAL COLLEGE,BURWOOD,43,16,0,223,181,0,99,100,12,92.0,0.0,37.0,35.4,433.875,9.171116344262568
390,2016,INDEPENDENT,PRESBYTERIAN LADIES' COLLEGE,BURWOOD,35,2,1,268,4,0,100,100,51,100.0,0.0,35.0,22.4,433.875,9.171116344262568
391,2016,CATHOLIC,SALESIAN COLLEGE,CHADSTONE,43,17,0,167,54,24,87,100,7,97.0,100.0,31.0,9.1,422.875,9.23901374606619
392,2016,INDEPENDENT,ST JOHN'S GREEK ORTHODOX COLLEGE,PRESTON,17,2,0,22,0,0,80,93,1,0.0,0.0,32.0,5.9,389.375,8.076779989575053
393,2016,GOVERNMENT,SUNSHINE COLLEGE,SUNSHINE,36,17,0,173,211,212,94,97,2,91.0,92.0,28.0,2.0,325.625,9.164298936634488
394,2016,GOVERNMENT,SURF COAST SECONDARY COLLEGE,TORQUAY,51,28,0,99,133,19,61,90,0,91.0,86.0,25.0,1.7,452.5,10.897247358851684
395,2016,GOVERNMENT,WILLIAMSTOWN HIGH SCHOOL,WILLIAMSTOWN,62,21,0,374,84,33,77,99,9,90.0,92.0,31.0,10.5,482.5,7.905694150420948
