ID,limit_bal,is_male,education,is_married,age,pay_1,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,label
13323,360000,0,2,1,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27373,120000,1,1,0,33,2,0,0,0,0,0,52053,52592,53748,54858,56445,58032,2000,2000,2000,2500,2500,2500,1
6853,310000,1,2,0,42,0,0,0,0,0,0,169749,172685,176630,180315,184072,188194,7000,6630,6379,6586,7086,7522,1
24637,220000,1,2,1,35,0,0,0,0,0,0,210200,213208,219611,204740,97722,89971,8000,10098,5828,3000,3000,5000,1
7505,120000,1,2,1,60,2,2,2,2,2,2,27497,27960,28996,29321,29803,30511,1200,1800,1100,1100,1350,1500,1
6407,240000,0,1,0,38,0,0,0,0,0,0,6916,2098,9927,3633,3603,926,2106,9951,3633,3603,926,7199,1
16136,50000,0,1,1,39,0,0,0,0,0,0,50465,51092,56266,39545,19856,19765,4000,3032,1668,1500,1805,23000,1
14928,50000,1,2,0,25,0,2,2,0,0,0,1170,780,0,0,0,0,0,0,0,0,0,0,1
22885,240000,0,2,1,43,0,2,0,0,0,0,2077,1588,41513,10657,7893,5347,0,41000,10657,0,5041,9190,1
1470,160000,0,3,0,29,1,0,0,0,0,0,0,0,4150,2065,0,500,0,4150,2065,0,500,0,1
28221,30000,0,2,1,33,3,2,2,7,7,7,2400,2400,2400,2400,2400,2400,0,0,0,0,0,0,1
512,120000,0,2,0,35,0,0,0,0,0,0,240,240,240,240,240,240,240,240,240,240,240,240,1
28980,150000,0,1,0,35,2,2,0,0,0,0,55337,53851,53710,48797,49928,51106,0,2503,2000,1804,2000,2000,1
6239,10000,1,2,0,27,0,0,0,0,0,0,8257,7995,4878,5444,2639,2697,2000,1100,600,300,300,1000,1
8231,50000,0,3,1,46,4,5,4,3,2,0,33100,32319,31499,30748,30162,30016,0,0,0,0,3100,798,1
4030,250000,0,1,1,40,0,0,0,0,0,0,326,326,652,326,326,326,326,652,0,326,326,326,1
8866,500000,0,1,1,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14226,50000,1,3,0,29,2,2,3,3,3,3,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0,1
14329,500000,0,2,1,64,1,0,0,0,0,0,493,1086,731,561,618,991,1086,731,561,618,991,933,1
10676,50000,1,2,1,42,0,0,0,0,0,0,12111,12911,13990,14356,14657,15013,1300,1300,600,532,600,494,1
19923,110000,0,2,0,31,0,0,0,0,0,0,98531,99593,100093,90437,75701,77013,3577,3680,3030,2701,2674,2669,1
23822,60000,0,3,1,50,2,0,0,0,0,0,61349,61600,61952,60661,29095,17636,2900,3300,2000,900,889,21500,1
29271,50000,1,3,0,26,0,0,0,0,0,0,50419,40200,0,0,0,0,1000,0,0,0,0,0,1
5399,50000,0,1,0,27,1,2,2,0,0,2,12884,14382,13859,14032,14852,14464,2000,0,700,1200,0,1365,1
25787,360000,0,2,1,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9544,240000,0,3,1,28,0,0,0,0,0,0,230184,228640,227399,200357,197198,186551,9000,9000,7000,7000,6512,6000,1
29682,360000,1,1,0,40,0,3,2,0,0,2,499,499,499,13136,9160,2752,0,0,13169,2784,12,14293,1
27130,110000,1,2,1,42,0,0,0,0,2,2,70265,74102,77901,84592,82350,87186,5000,5000,8000,0,7000,0,1
29975,50000,1,2,1,37,1,2,2,2,0,0,10904,9316,4328,2846,1585,1324,0,3000,0,0,1000,1000,1
9228,20000,1,3,0,44,4,3,2,0,0,2,12480,12001,11516,11436,12553,12501,0,0,408,1300,300,0,1
12466,210000,1,3,1,44,1,2,2,0,0,0,19131,18447,0,0,0,0,0,0,0,0,0,0,1
28232,30000,0,3,0,42,1,2,2,2,0,0,30445,27794,30603,29802,30134,30410,0,3569,0,1100,1100,1127,1
24970,80000,1,2,0,36,2,2,2,0,0,0,48751,49853,48781,50170,51237,52360,2200,0,2500,2500,2100,2000,1
18165,190000,1,2,0,36,0,0,0,0,0,0,154456,142409,119290,99767,101761,105150,6176,5000,3815,3614,5000,5000,1
28835,220000,0,1,0,36,0,0,0,0,0,0,222598,222168,217900,221193,181859,184605,10000,8018,10121,6006,10987,143779,1
11985,470000,0,1,0,30,0,0,0,0,0,0,1689,499,350,2277,41523,2175,499,350,2277,41523,2175,6351,1
10702,50000,0,2,1,31,2,2,2,2,2,2,26441,28297,29532,28758,30287,31133,2600,2000,0,2000,1500,1500,1
29146,230000,0,3,1,70,0,0,0,0,0,0,183500,147525,147391,149904,151816,103443,7000,5500,7000,6066,4000,5000,1
7781,70000,0,2,1,28,0,0,0,0,0,0,45738,36105,27484,28526,30053,30379,4016,2000,2000,2000,2000,2000,1
4044,160000,0,2,1,34,0,0,0,0,0,0,2734,0,625,406,338,0,0,625,406,338,0,0,1
19785,150000,0,2,0,36,0,0,0,0,0,0,134797,138269,144163,146171,136004,138903,5600,8000,5775,5000,5200,3320,1
12236,20000,0,2,1,36,2,0,0,0,2,0,17638,17058,17541,19338,17889,18486,1666,1149,1946,0,1007,0,1
9096,200000,1,2,1,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13777,50000,0,3,1,26,1,2,0,0,0,0,48421,42779,34992,25916,27207,26192,0,1424,1500,1677,1500,1500,1
16728,80000,1,2,0,33,2,2,0,0,0,0,24928,24229,25832,27394,29922,31879,0,2000,2000,3000,2600,0,1
20672,150000,1,2,0,32,0,0,0,0,0,0,146785,92750,73822,35706,28178,20782,3300,3114,2000,2000,2000,3700,1
16090,80000,0,2,0,37,2,0,0,0,0,0,52052,51407,0,0,0,0,2000,0,0,0,0,0,1
20211,60000,0,2,1,50,2,0,0,0,0,0,60199,60742,60841,58902,19352,19523,2800,2600,2107,1000,1000,705,1
13210,10000,1,2,0,24,0,0,0,2,0,0,11035,12349,13598,9378,4883,5001,1500,1528,0,730,199,100,1
13306,270000,1,1,1,37,0,0,0,0,0,0,396,396,792,396,396,396,396,792,0,396,396,396,1
11908,130000,0,3,1,43,3,2,2,2,2,2,19085,18491,20579,19950,21625,21129,0,2400,0,2000,0,1800,1
22745,340000,0,2,1,30,0,0,0,0,0,0,338624,338272,339191,325675,285417,284834,15000,15000,15000,15000,12000,12500,1
16634,50000,1,2,0,25,2,2,2,0,0,0,19775,21679,18566,19918,19584,18508,3800,0,2000,1500,1000,2000,1
12749,30000,0,2,0,23,0,0,0,0,0,0,28420,27929,28920,27997,28378,29321,1482,1703,1001,1500,1845,1001,1
24198,80000,1,2,0,30,2,2,2,2,2,2,66995,67794,69607,70864,71902,73407,2500,3500,3000,2800,2800,0,1
8178,70000,0,2,1,32,3,3,4,4,5,6,31507,33699,35839,37954,39787,41601,3000,3000,3000,3000,3000,0,1
1890,210000,0,3,0,36,1,0,0,0,0,0,0,4866,0,0,5916,0,4866,0,0,5916,0,0,1
17453,20000,0,2,1,46,1,2,0,0,0,0,13254,12749,13834,14894,15050,16251,0,1600,1600,700,1601,1620,1
26966,360000,1,3,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10391,200000,0,2,0,49,2,2,2,2,2,2,91140,93011,90634,95464,99894,98171,4200,0,7260,6100,0,3800,1
21459,130000,0,2,0,29,2,0,0,0,0,0,120844,123333,126347,129249,132093,129155,4500,5000,5000,5000,4700,5000,1
7787,90000,0,2,0,25,2,2,2,0,0,0,41757,42797,41814,42813,43571,46350,2001,0,2000,1600,3500,0,1
27223,160000,1,1,0,30,1,0,0,0,0,0,0,650,0,650,325,325,650,0,650,0,325,325,1
15537,50000,1,2,1,39,2,2,2,2,2,2,31476,30676,33261,32427,34579,35476,0,3400,0,2700,1600,1500,1
18738,50000,0,2,1,25,0,0,0,0,0,0,9587,6583,3243,1691,-1889,2720,1200,1000,1700,0,5679,1600,1
13561,500000,0,1,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20674,20000,1,2,0,35,0,0,0,3,7,6,6855,11392,15863,20581,20298,19424,5000,5000,5000,0,0,1000,1
9827,280000,0,1,0,28,1,0,0,0,0,0,0,5072,4872,4284,4322,9887,5072,4900,0,4322,9887,49300,1
1409,220000,0,2,0,25,0,0,0,0,0,0,165040,167485,148133,123266,125736,128342,6809,7038,5000,4500,5000,4473,1
3078,240000,1,2,1,48,0,0,0,0,0,0,3972,783,0,0,3853,29252,783,0,0,3853,29252,16747,1
24505,100000,1,2,1,46,1,2,2,0,0,0,22648,23978,23312,24617,25109,25654,2000,0,2000,1200,1100,1200,1
26657,10000,1,2,0,25,0,0,0,0,0,0,3684,4715,5785,7134,3535,4323,1100,1155,1500,1000,1000,1000,1
12323,120000,0,2,0,25,1,0,0,0,0,0,0,0,12162,1553,0,0,0,12162,1553,0,0,0,1
19481,60000,0,2,1,39,0,0,0,0,0,0,50615,50200,19567,29035,27762,27740,1619,1429,31426,969,998,1545,0
28492,40000,0,3,1,36,0,0,2,0,0,2,15861,18580,17994,20671,22328,21830,3000,0,3000,2000,0,2000,0
23522,30000,0,2,1,35,0,0,0,0,0,0,25239,26847,26319,26868,25345,26781,3000,3000,2000,3304,2000,3000,0
9883,70000,0,3,1,47,1,0,0,2,0,0,30950,33087,42935,28346,27279,28976,3107,48323,0,2001,3000,3003,0
29598,140000,1,2,0,44,0,0,0,0,0,0,129301,129885,131886,133105,78607,78773,6104,7000,5518,2933,3100,3502,0
24948,120000,1,1,1,43,0,0,0,0,0,0,165,0,788,0,0,495,0,788,0,0,495,0,0
14958,150000,0,1,0,24,0,0,0,0,0,0,291,291,291,658,441,1197,291,291,658,441,1197,8007,0
9515,140000,1,1,0,56,0,0,0,0,0,0,140630,142166,51334,51533,52233,53826,6100,2411,2000,2041,3000,1874,0
27340,170000,1,2,1,37,1,2,0,0,0,0,77959,76115,79274,82034,85664,89272,0,5000,5000,5000,5000,5000,0
15409,50000,0,5,0,48,0,0,0,0,0,0,47937,33816,60320,36249,780,0,2000,2000,3293,0,0,0,0
8120,150000,1,1,1,29,0,0,0,0,0,0,46745,20853,90787,11232,0,0,20995,91269,56,0,0,0,0
21511,30000,0,1,0,23,0,0,0,0,0,0,10210,13754,-191,24149,25452,25104,6000,250,25000,2000,1000,1100,0
23102,290000,0,1,1,36,0,0,0,0,0,0,3602,6107,4536,6074,0,817,6107,4538,6074,0,817,1662,0
27053,50000,1,3,1,47,0,0,0,0,0,0,12975,13982,15315,16019,16336,16678,1230,1563,1267,584,605,609,0
17981,160000,1,2,1,36,0,0,0,0,0,0,59675,61085,62503,63867,65206,69584,3000,3000,3000,3000,5600,2600,0
20191,350000,0,1,0,31,0,0,0,0,0,0,35420,38632,42499,46590,52606,59537,4000,5000,5000,7000,8000,10000,0
5257,260000,0,3,0,55,0,0,0,0,0,0,185441,190942,194161,197287,172561,165409,10000,8000,7150,7057,7396,4060,0
19568,240000,0,2,0,30,0,0,0,0,0,0,35380,64013,51380,25438,19376,12889,64013,1651,1705,564,2093,144734,0
2843,110000,0,2,1,51,0,0,0,2,2,2,10141,11472,12973,12468,13763,13989,1500,2000,0,1500,600,0,0
6249,390000,1,1,0,29,0,0,0,0,0,0,9918,15918,103169,95669,88080,80576,16008,100000,5000,4000,4000,3000,0
27136,500000,1,2,1,47,0,0,0,0,0,0,18463,17849,12818,5674,11416,36000,18011,12818,5674,11416,36018,14537,0
18014,80000,1,1,0,37,0,0,0,0,0,0,155342,159672,163959,168187,171869,175524,6000,6000,6000,5500,5500,5500,0
22235,250000,0,1,0,31,0,0,0,0,0,0,36439,30161,24326,13198,6686,9423,5000,1298,1000,134,9423,19346,0
25156,30000,0,2,1,24,1,2,2,2,2,2,29654,28570,31085,29945,30373,29476,0,3300,0,2158,0,1100,0
27051,280000,1,1,0,37,0,0,0,0,0,0,1695,5827,10190,2355,3612,586,6644,10200,2355,3612,4248,0,0
18766,200000,0,1,1,28,0,0,0,0,0,0,1878,576,4251,1358,300,0,576,4251,1358,300,8909,5670,0
26022,150000,0,3,0,33,0,0,0,0,0,0,1879,69842,2777,945,-5,1951,69842,2785,947,0,1956,900,0
29750,180000,1,2,0,34,0,0,0,0,0,0,-16,-16,-16,850,0,0,0,0,866,0,0,0,0
19878,40000,0,2,1,38,0,0,0,0,0,0,40125,38809,36485,28152,22161,19789,2006,2002,1603,1000,2000,0,0
2051,30000,1,2,1,47,1,2,0,0,2,2,15148,14620,15322,16469,16063,17295,0,1253,1400,0,1500,0,0
1591,50000,0,3,1,48,0,0,0,0,0,0,4064,5987,7719,8588,9291,11127,2000,2000,1000,1000,2000,2000,0
1128,360000,0,2,1,52,0,0,0,0,0,0,2995,2401,2277,500,3586,7399,2406,2282,500,3586,7399,600,0
3183,50000,1,3,1,49,0,0,0,0,0,0,2522,1173,-88,2912,390,390,1173,0,3000,0,0,780,0
15175,30000,0,2,0,23,0,0,0,0,0,0,34084,33476,32006,31672,31247,30673,1521,1573,1500,1300,1300,1329,0
16804,200000,1,1,0,40,0,0,0,0,0,0,66052,68994,70825,73902,74943,76996,3800,3300,4000,2600,3000,3000,0
19420,90000,0,1,0,29,0,0,0,0,0,0,79063,64135,46678,85156,43269,44181,3687,1997,1995,1686,1749,1840,0
25425,200000,0,1,0,31,0,0,0,0,0,0,10742,165,1295,0,0,0,165,1295,0,0,0,0,0
26651,30000,1,2,0,25,2,0,0,0,0,0,29608,27471,29075,26011,13900,0,1600,3000,1200,139,0,0,0
25951,410000,0,3,1,32,0,0,0,0,0,0,388,388,388,388,110345,116128,388,388,388,110345,8000,4200,0
27753,150000,0,2,0,23,0,0,0,0,0,0,58757,59555,59684,59501,59075,59171,2714,2812,2599,2143,2208,2112,0
11593,260000,0,1,0,27,0,0,0,0,0,0,399,399,399,798,399,399,399,399,798,0,399,399,0
4028,240000,1,2,1,39,2,0,0,0,0,0,234661,234364,235982,239281,244329,249130,10200,10200,8725,9068,9068,15000,0
7948,310000,0,2,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25507,210000,0,2,0,27,0,0,0,0,0,0,83381,85097,86928,89471,91282,93309,3100,3200,4000,3300,3500,3500,0
12234,160000,1,2,1,31,0,0,0,0,2,0,54835,46575,7169,9036,8749,9447,3500,2000,2000,0,1000,500,0
19924,50000,0,2,1,31,0,0,0,0,0,0,22716,19198,19462,14841,11088,10301,2000,1510,4000,1000,600,500,0
27734,80000,0,1,0,24,1,2,0,0,0,0,2254,620,4220,8540,8540,8540,0,3600,4500,0,0,4932,0
10768,200000,0,3,1,34,0,0,0,0,0,0,3600,-4,-4,752,0,2718,4,0,756,0,2718,2722,0
11210,510000,0,1,0,35,0,0,0,0,0,0,198,3125,200,22397,28782,18617,3125,200,22397,18000,1000,1602,0
17868,60000,1,1,0,28,0,0,0,0,0,0,40784,41723,42665,43254,43757,44378,2001,2001,1690,1501,1617,1502,0
23925,420000,1,2,1,24,0,0,0,0,0,0,392639,397332,376317,214062,164003,162836,16117,20516,7092,6019,4636,5570,0
17788,50000,1,2,1,64,2,3,2,2,0,0,28433,27682,28403,27648,28202,30008,0,1459,0,1013,2264,0,0
12649,160000,0,2,1,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3753,360000,0,1,1,31,0,0,0,0,0,0,-5,-5,-5,4232,3189,7511,0,0,4237,16,7548,4105,0
6081,200000,1,1,1,36,0,0,0,0,0,0,8065,49307,5679,8855,49572,2684,49362,5679,8855,49572,2684,13050,0
27820,50000,0,2,0,27,0,0,0,0,0,0,45750,1655,8425,10408,53327,318,1655,8425,10424,53327,318,3770,0
11791,50000,0,3,1,41,0,0,0,0,0,0,48403,49448,50125,9717,9549,9840,2550,2227,339,500,600,500,0
14439,30000,0,3,0,31,0,0,0,0,0,0,5477,7314,2970,2587,0,0,8011,2970,2587,0,0,0,0
22746,360000,0,2,0,31,0,0,0,0,0,0,49011,62438,77461,79025,75556,63097,15000,20000,3500,2300,5000,5000,0
8071,150000,0,2,0,50,0,0,0,0,0,0,7890,8958,780,7500,0,0,8958,780,7500,0,0,0,0
23883,120000,1,1,0,27,0,0,0,0,0,0,21812,20874,21930,22165,20502,19030,1700,1700,1500,700,1000,1000,0
10219,80000,0,2,1,46,0,0,0,0,0,0,4742,3913,6383,5016,1760,2783,1277,6387,102,35,1850,6099,0
16408,200000,0,1,1,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1562,0
12359,200000,0,1,1,41,0,0,0,0,0,0,4533,8756,3539,5529,10332,6894,8756,3539,5529,10332,6894,3188,0
8620,80000,1,1,0,26,0,0,0,0,0,0,76867,51936,28221,28809,19551,19925,1600,1300,859,3000,800,50000,0
19129,50000,0,3,1,45,0,0,0,0,0,0,49212,42376,20009,20877,19642,18769,1611,1700,1547,785,1000,888,0
13216,80000,0,3,0,28,0,0,0,0,0,0,70194,71912,69776,70985,72444,69685,3500,3000,2500,2500,2500,2500,0
23096,250000,0,2,1,32,0,0,0,0,2,2,195044,198294,202571,226423,221296,234762,8000,7478,27349,0,17000,0,0
20142,390000,0,3,1,44,0,0,0,0,0,0,35369,22238,7809,97774,100912,152955,15000,7809,97874,32494,100000,31000,0
2703,50000,0,1,0,22,0,0,0,0,0,0,4124,1070,0,1217,3766,381,1070,0,1217,3766,381,1980,0
28768,160000,0,2,1,41,0,0,0,0,0,0,13512,13453,13420,13873,13833,13818,1206,1329,1098,374,400,364,0
28474,160000,0,3,1,36,1,0,0,0,0,0,0,17029,1283,4404,0,535,17029,1283,4404,0,535,0,0
13161,50000,0,3,0,26,0,0,0,0,0,0,26708,25230,26999,27748,28351,28864,2000,3000,1500,1200,1136,1032,0
24290,190000,1,1,0,30,0,0,0,0,0,0,138429,141192,144484,148760,48776,49853,4555,5058,6489,1602,1716,2286,0
17678,220000,0,1,1,47,0,0,0,0,0,0,210753,188270,177515,166282,100244,-607,6426,7160,6495,3993,0,176566,0
26824,50000,1,1,0,32,0,0,0,0,0,0,18741,12724,13804,15331,15159,10188,1724,1804,2721,1159,1188,733,0
12960,150000,0,3,1,25,0,0,0,0,0,0,29823,25968,24823,22908,19325,12854,1630,7000,5000,3000,257,40825,0
7290,20000,1,2,0,33,0,0,0,0,0,0,36658,19253,20179,18800,19500,0,4000,1409,0,1000,0,0,0
28305,80000,0,2,1,29,1,2,2,2,2,2,85738,80445,82639,83357,78188,79492,0,7400,3000,0,5700,3000,0
24829,310000,1,2,1,41,0,0,0,0,0,0,34682,23594,-26,5333,-56,-56,23712,0,5359,0,0,0,0
10833,110000,0,2,0,28,0,0,0,0,0,0,105080,107420,107325,108545,105341,106822,5540,5361,4500,4000,4500,4100,0
8458,400000,1,2,1,39,0,0,0,0,0,0,399099,272898,202937,169138,144434,124802,15395,10232,12115,6285,11106,3124,0
28761,140000,0,2,1,33,0,0,0,0,0,0,89226,90212,-1037,-1037,66441,68365,3133,0,0,68383,3000,3096,0
7433,30000,1,2,0,28,0,0,0,0,0,0,29617,4096,2058,540,13056,1690,4096,2064,540,13056,1690,16964,0
14608,160000,0,2,1,30,0,0,0,0,0,0,51400,0,0,0,0,0,0,0,0,0,0,0,0
28678,500000,0,1,0,29,0,0,0,0,0,0,70287,73487,77282,80977,84609,88073,5000,5000,5000,5000,5000,5000,0
22836,360000,0,1,0,30,0,0,0,0,0,0,37012,4810,3969,6657,642,6204,4924,3969,6657,642,6204,7052,0
8873,500000,0,2,0,37,0,0,0,0,0,0,51652,29550,33040,30757,35559,38981,5300,4000,3000,5300,5000,5000,0
1586,100000,1,3,0,52,0,0,0,0,0,0,73904,73249,12327,10793,5309,900,2781,2101,216,0,900,500,0
4514,300000,1,1,1,34,0,0,0,0,0,0,66176,68108,70306,99217,142188,145013,3000,3500,30049,50000,5200,5000,0
3159,150000,0,3,1,51,0,0,0,0,0,0,113647,117322,119935,124913,128108,131382,5001,4000,6006,5000,5008,0,0
22430,150000,0,1,0,35,0,2,2,2,2,2,15349,12834,25740,20995,21353,14453,0,15600,0,758,0,2580,0
19974,400000,0,1,1,32,0,0,0,0,0,0,3616,0,3328,3328,3828,4893,0,6656,3328,3828,4893,4687,0
14266,230000,0,1,1,34,0,0,0,0,0,0,124824,102327,103506,100554,103929,107780,10001,5000,4500,5000,6500,4300,0
11150,70000,1,2,0,62,1,2,0,0,0,2,24635,23020,22496,22070,22101,20724,1100,1703,1000,1800,0,900,0
7585,90000,0,2,0,28,1,2,2,2,0,0,83480,89264,89896,86706,87385,88351,8000,3000,0,3000,5000,5000,0
17831,380000,1,2,0,26,0,0,0,0,0,0,64900,43514,10626,312,986,284729,2600,1626,312,1007,284069,11340,0
10600,50000,1,2,0,23,1,2,0,0,0,0,6226,5981,6870,7038,2268,5051,0,1032,200,285,3000,2000,0
24536,50000,1,2,0,39,0,0,0,0,0,2,47990,43288,44569,47291,50398,23675,1997,2278,4000,4000,0,0,0
3704,140000,0,2,1,46,0,0,0,0,0,0,390,390,390,390,390,390,390,390,390,390,390,780,0
